#{"t_start": 1655567044.271737, "env_id": "CTsim-v0"}
r,l,t
-1817.550622,42,103.033504
-17061.822213,200,429.927089
-6593.333071,199,760.666067
-8334.244652,80,892.978467
196256.874442,97,1055.087672
501659.950684,143,1294.43249
314289.205285,200,1629.055377
142.566206,23,1668.598881
-4860.651852,200,2014.989563
291447.555567,200,2350.878265
14603.9199,102,2520.439619
755347.999651,200,2854.796769
32.141676,1,2856.555573
-20575.523009,149,3106.902851
293158.616981,200,3442.375013
1041723.418702,200,3801.933058
1206621.211294,200,4142.048692
-9919.3519,45,4221.185934
977349.646532,200,4567.485569
713790.401721,180,4870.073462
108696.362232,60,4971.263143
550850.71968,200,5329.533638
715033.635947,200,5673.87357
258180.601948,200,6013.616724
30773.671192,166,6300.543944
388009.902931,184,6615.763369
592266.007749,200,6958.494059
1119475.296692,200,7316.997629
819905.201668,200,7654.293869
857745.019148,191,7975.872092
805740.169621,200,8319.210809
898905.636632,200,8664.734217
5920.252601,39,8731.083781
-1562.814164,37,8808.010186
-8914.474246,146,9060.896606
760956.153957,200,9405.190692
-16.561717,2,9408.821462
1210102.577008,200,9751.680171
1167364.527541,200,10091.364999
223193.689441,94,10250.523988
1142219.042145,200,10606.588791
1092942.381847,200,10949.220559
817541.12268,200,11295.197247
59561.256425,52,11383.442251
826901.637283,200,11724.760632
1175153.092674,200,12070.133995
1053243.004474,200,12432.37772
1003876.467375,200,12774.592848
975535.806847,200,13115.769201
889147.471461,200,13458.276124
1178400.050614,200,13804.799173
963388.493378,200,14164.455851
1054477.509348,200,14508.842547
1316851.5446,200,14851.206117
1068436.149752,200,15199.490096
60471.842712,59,15302.882083
9360.54235,40,15372.677093
937156.184756,200,15718.003606
1199286.661726,200,16080.815282
1281963.399014,200,16428.509128
1042477.309982,200,16774.121906
1253690.150113,200,17121.919436
851761.934159,200,17585.924986
883299.694703,200,17927.508773
888563.525524,200,18286.763996
1170515.023101,200,18630.542094
1278951.688137,200,18973.065963
1116524.005267,200,19318.851388
1179572.70096,200,19667.607741
202164.548855,65,19796.805101
1050445.823396,200,20139.437047
863858.280685,200,20486.743318
71211.046188,69,20605.701465
1300100.924369,200,20953.468328
9.112482,5,20962.541835
739449.287643,200,21310.416321
1267031.578107,200,21672.956058
1306584.886429,200,22018.137163
2302.26951,26,22062.671179
1678.321169,74,22191.041616
837.535799,1,22192.821625
1046377.102193,200,22538.069459
1200819.18171,200,22884.462393
1245336.388931,200,23235.130304
1327957.565882,200,23597.618281
1218774.004481,200,23943.84829
1130601.017591,200,24296.482846
669051.150252,200,24644.572652
766656.079472,200,24991.140182
820062.905083,200,25361.255344
1208784.495861,200,25715.575997
1031913.782564,200,26065.1958
1167014.521552,200,26413.313076
1085907.325029,200,26761.558012
1131116.526204,200,27126.317418
1332271.972907,200,27475.643831
1182744.024185,200,27821.883043
1031738.287958,200,28170.245581
8548.153382,127,28391.167258
1302527.87643,200,28738.66155
1188824.72698,200,29106.393939
1182488.375592,200,29452.251996
1160408.503503,200,29801.462087
1156000.974557,200,30151.602949
1101767.501129,200,30502.96853
1044685.525469,200,30867.455558
1077416.198675,200,31219.770554
1124162.987573,200,31573.397658
1174082.067616,200,31923.833331
1139182.005284,200,32269.851376
869407.06568,200,32633.831985
818980.693767,200,32980.97992
1074852.233889,200,33333.234701
1286004.653582,200,33683.50474
1282497.452853,200,34028.542342
1125387.436348,200,34401.687869
1190873.175687,200,34750.116745
832900.602509,200,35099.261345
1249625.701869,200,35505.689507
1258808.591964,200,35857.678128
39141.267262,40,35927.970579
1214644.206248,200,36273.911603
1055183.730395,200,36634.696338
11533.025998,23,36674.648634
13901.409358,34,36734.128948
1339000.424625,200,37083.082779
3093.52662,43,37157.863292
1297461.969351,200,37507.667477
6567.446486,31,37562.243515
1081105.288833,200,37918.196414
1310801.5969,200,38283.720589
1285716.16736,200,38634.573819
1273809.067358,200,38981.361187
1236175.759618,200,39323.786791
1236090.994839,200,39673.682158
1106839.197858,200,40042.126392
1170488.873937,200,40396.346826
869708.765495,200,40745.030209
1219744.065592,200,41096.670851
1327304.747647,200,41450.969729
1168415.636698,200,41817.0745
1119616.806451,200,42170.409035
27493.114238,28,42219.528331
964857.821743,200,42569.427007
105735.301467,110,42763.950835
12876.629115,63,42874.794634
1223464.479192,200,43228.210377
1371963.979198,200,43579.359251
1219249.565537,200,43944.588157
1150034.14841,200,44300.815234
1249407.056315,200,44651.36043
23457.497802,31,44705.251329
772621.090129,200,45058.922706
1219388.871651,200,45423.970945
1135338.203145,200,45776.540196
1105124.52118,200,46125.037097
1045215.978265,200,46476.820605
1238942.949314,200,46827.595717
958952.210096,200,47176.881615
-1061.293832,46,47273.930451
1219783.396387,200,47622.372471
1272949.907835,200,47967.071743
1248630.029717,200,48316.226658
1286000.304739,200,48667.498559
1172814.746846,200,49023.489869
-3220.612486,40,49093.711252
4284.668218,36,49156.454099
1315804.809537,200,49505.063853
1137643.519529,200,49853.366475
1218520.605758,200,50203.011959
1308656.015277,200,50551.086312
1042971.534769,200,50917.405814
1280622.983089,200,51270.657058
-2112.91325,20,51306.069132
1161564.726304,200,51654.471778
1327173.756356,200,52010.011565
1239116.352749,200,52359.160376
1156797.910866,200,52728.089455
1337707.674551,200,53078.976973
1232797.594958,200,53523.267453
1216969.687063,200,53861.739085
1146116.648769,200,54217.213706
1353816.58766,200,54572.230305
1362842.523313,200,54939.955741
1269996.619552,200,55288.156379
1161668.047892,200,55641.589643
1371996.835717,200,55990.169291
1275359.054736,200,56339.735565
1331477.307485,200,56701.458571
979828.835899,200,57052.815163
893097.933675,200,57404.101149
1134802.041716,200,57759.283402
1285217.109221,200,58109.99672
1241564.69669,200,58474.489789
1198448.294697,200,58825.943591
944786.136662,200,59171.582594
1147061.996996,200,59516.029035
1190630.573207,200,59864.912498
1288580.061129,200,60233.615379
1155058.094482,200,60583.650725
1213559.285603,200,60930.328884
1164635.116729,200,61281.567917
1126096.989525,200,61635.347532
1161121.572589,200,61988.205335
957153.247991,200,62351.092163
-2696.724484,17,62381.308296
1370158.236376,200,62738.765257
1222425.604082,200,63084.789729
1167558.580107,200,63435.150325
70317.767967,89,63591.515653
1169359.180932,200,63954.846246
1180349.618112,200,64306.585729
1294129.912049,200,64652.200171
1372430.490292,200,65003.790639
1299832.420455,200,65352.601061
1217476.678417,200,65720.339653
1215827.166962,200,66071.987635
798569.688086,200,66424.097224
1305692.085123,200,66777.032484
1332910.770577,200,67130.61501
883755.487885,200,67492.526258
1364445.478015,200,67841.309421
1103115.550246,200,68191.716348
1181283.891307,200,68541.682817
1228072.156206,200,68889.486815
1220351.129511,200,69239.555796
42604.452373,64,69366.739098
792879.06681,200,69714.136
1211717.330461,200,70063.675153
1264122.795349,200,70413.967874
1296641.750076,200,70765.324429
1095901.544144,200,71130.184698
-4305.40359,27,71232.166527
52231.314936,54,71325.760608
1249249.704854,200,71674.015394
859215.591008,143,71921.362497
-4188.770927,28,71968.652561
1186631.540401,200,72309.593184
1136559.358066,200,72656.980387
1235415.872626,200,73005.8498
1225923.432139,200,73371.67301
1183477.631626,200,73721.721815
961099.893826,200,74072.488085
1378794.50113,200,74429.18097
1277835.384082,200,74781.095695
1295070.246173,200,75142.502687
1289646.641358,200,75485.769284
1378976.104414,200,75838.176352
1353761.946044,200,76193.215096
1231310.917651,200,76545.107439
1327793.699723,200,76910.883815
150320.226969,200,77260.801454
1144637.083474,200,77610.926381
1257625.465246,200,77959.512457
1320425.287895,200,78308.237278
1412153.75559,200,78669.987249
1306345.010585,200,79020.055087
1225924.840093,200,79369.161954
1172407.862122,200,79719.714419
1230404.546385,200,80070.866057
1169047.95561,200,80425.944771
1067173.744122,200,80796.404564
1165730.21322,200,81145.717366
1254657.537845,200,81495.629667
1249052.725621,200,81846.666008
1240369.55877,200,82196.28858
1373690.418809,200,82564.730839
1306044.712509,200,82917.253436
1113515.542117,200,83270.953258
1193669.029193,200,83619.261247
1388453.467896,200,83971.397706
1224480.282839,200,84337.544043
1064717.761033,200,84690.750806
1283745.938706,200,85044.134504
1231601.320912,200,85396.154347
1334483.406199,200,85746.642536
1037404.571683,200,86109.528654
837869.642926,200,86459.046242
1034786.614232,200,86808.63936
1242839.338932,200,87157.736441
1228755.330329,200,87512.101312
1190475.207497,200,87880.934275
1237323.695917,200,88240.123922
1302176.101371,200,88587.199279
1250076.12426,200,88938.721822
1212002.687374,200,89544.440946
1363214.892134,200,89911.725797
1303132.831788,200,90260.676197
1178009.965177,200,90610.458248
1413206.271413,200,90954.330101
1361071.645372,200,91305.853597
1198505.918701,200,91651.60562
709007.683632,200,92012.649155
1317840.876177,200,92362.207215
1248659.063109,200,92715.622671
1088820.322746,200,93060.175313
1202799.985901,200,93409.185877
1408722.036489,200,93779.681118
1138717.949565,200,94124.73246
1229067.33393,200,94469.836107
1124092.006196,200,94817.145946
1341820.674264,200,95169.126533
1266419.748362,200,95535.715862
1197063.21516,200,95888.472938
1322189.410783,200,96240.739535
265850.633717,200,96594.176911
72853.044824,64,96706.913653
1376851.923318,200,97057.586877
1290847.879906,200,97424.018789
1098270.593964,200,97775.297602
1233678.04093,200,98128.291127
1242467.368547,200,98479.685559
1312397.469045,200,98834.465909
1133288.558061,200,99198.939967
1189882.862796,200,99551.352551
903621.1603,200,99906.444314
1310736.356825,200,100258.382794
1170153.554585,200,100610.447154
1191312.496501,200,100973.682026
23954.820591,67,101091.184419
1245142.014408,200,101442.332604
1137694.009459,200,101789.42625
1144363.036054,200,102140.908808
1216066.981824,200,102489.778538
1282213.029696,200,102853.812787
1410346.047582,200,103206.654887
1325226.19786,200,103559.56683
1375274.649381,200,103917.08479
1211181.846797,200,104269.886765
1147379.375633,200,104635.798215
1335608.02459,200,104986.122433
862414.215798,200,105334.491027
1093974.983661,200,105680.605569
1223271.69092,200,106030.695662
1234769.993361,200,106396.725374
1324064.058799,200,106747.469582
1225964.010384,200,107098.785837
1266407.842724,200,107572.237887
1200218.878463,200,107922.603603
1157611.370384,200,108270.956666
1378453.589351,200,108636.68347
783609.741479,200,108985.635068
90706.440805,82,109127.429073
943368.441777,200,109474.161644
680672.668925,200,109819.546087
1143192.878544,200,110185.340947
1151523.561022,200,110532.399289
1102095.890501,200,110877.967577
331172.122888,176,111186.405415
12333.37128,47,111271.686269
781710.715652,200,111628.343773
1332399.879897,200,111995.402652
1213096.079673,200,112344.705148
1252478.084491,200,112692.17251
1362892.772178,200,113044.04029
917990.538322,200,113393.604955
